batch_id,timestamp,temperature,conveyor_speed,hold_time,batch_size,material_type,hour_of_day,operator_exp,temp_speed_product,temp_deviation,speed_deviation,hold_per_kg,shift,hours_into_shift,quality_score,yield_pct,performance_pct,energy_kwh,co2_kg,energy_per_kg,fault_type
B0016,2025-09-02 05:18:06,176.0,76.6,19.1,594.0,1,10,1,13481.6,7.0,1.6,0.032155,0,4,89.9,91.9,91.0,36.2,29.68,0.060943,normal
B0021,2025-09-02 07:23:38,176.9,76.4,16.5,619.0,1,14,0,13515.2,6.1,1.4,0.026656,1,0,90.7,92.6,91.0,36.3,29.77,0.058643,normal
B0012,2025-09-02 08:59:02,186.3,81.7,18.1,529.0,1,9,1,15220.7,3.3,6.7,0.034216,0,3,89.6,90.9,89.6,34.3,28.13,0.064839,calibration_needed
B0011,2025-09-02 09:00:12,187.0,83.4,21.0,570.0,0,9,1,15595.8,4.0,8.4,0.036842,0,3,89.2,91.5,90.7,33.8,27.72,0.059298,normal
B0019,2025-09-02 09:18:00,177.4,84.2,15.9,502.0,0,11,2,14937.1,5.6,9.2,0.031673,0,5,91.6,90.6,89.4,32.5,26.65,0.064741,wet_material
B0018,2025-09-02 11:39:45,186.6,72.9,18.0,413.0,1,12,2,13603.1,3.6,2.1,0.043584,0,6,93.2,94.7,97.5,35.4,29.03,0.085714,bearing_wear
B0017,2025-09-02 12:22:52,180.6,81.3,14.0,453.0,2,15,0,14682.8,2.4,6.3,0.030905,1,1,89.0,90.6,91.9,37.7,30.91,0.083223,normal
B0029,2025-09-02 13:01:14,188.2,84.3,22.1,553.0,1,8,0,15865.3,5.2,9.3,0.039964,0,2,85.7,89.3,86.1,40.8,33.46,0.073779,normal
B0022,2025-09-02 13:38:26,185.1,66.1,14.1,441.0,0,15,2,12235.1,2.1,8.9,0.031973,1,1,93.4,93.0,92.6,29.1,23.86,0.065986,normal
B0026,2025-09-02 15:47:14,179.7,69.3,12.6,455.0,0,14,2,12453.2,3.3,5.7,0.027692,1,0,92.6,93.4,90.1,25.8,21.16,0.056703,normal
B0032,2025-09-02 17:07:20,184.9,75.5,22.7,553.0,0,19,1,13960.0,1.9,0.5,0.041049,1,5,94.2,95.4,94.7,35.5,29.11,0.064195,normal
B0023,2025-09-02 17:38:22,182.8,77.0,10.2,388.0,0,9,1,14075.6,0.2,2.0,0.026289,0,3,97.1,96.0,95.3,27.9,22.88,0.071907,normal
B0020,2025-09-02 20:21:20,184.3,77.2,16.6,449.0,0,12,1,14228.0,1.3,2.2,0.036971,0,6,96.5,95.5,93.7,27.4,22.47,0.061024,normal
B0031,2025-09-02 20:55:45,183.3,66.4,19.6,609.0,0,18,1,12171.1,0.3,8.6,0.032184,1,4,93.1,92.7,90.2,33.1,27.14,0.054351,wet_material
B0024,2025-09-02 22:25:06,175.7,69.2,15.3,328.0,0,8,1,12158.4,7.3,5.8,0.046646,0,2,87.3,89.4,87.2,30.2,24.76,0.092073,normal
B0037,2025-09-03 00:25:14,183.4,72.2,24.2,514.0,1,7,1,13241.5,0.4,2.8,0.047082,0,1,94.5,93.8,91.7,40.0,32.8,0.077821,normal
B0042,2025-09-03 02:09:59,175.0,83.8,22.5,616.0,2,9,1,14665.0,8.0,8.8,0.036526,0,3,84.0,86.8,88.6,42.8,36.33,0.069481,bearing_wear
B0040,2025-09-03 05:19:20,185.0,91.1,15.0,440.0,0,12,1,16853.5,2.0,16.1,0.034091,0,6,89.5,89.4,88.1,31.0,25.42,0.070455,normal
B0027,2025-09-03 05:49:35,179.4,67.5,18.1,386.0,0,18,1,12109.5,3.6,7.5,0.046891,1,4,87.9,92.8,93.0,29.0,23.78,0.07513,normal
B0036,2025-09-03 10:26:56,179.3,83.7,22.7,532.0,0,7,1,15007.4,3.7,8.7,0.042669,0,1,89.4,90.4,91.7,37.3,30.59,0.070113,normal
B0028,2025-09-03 10:52:53,183.9,89.9,25.6,595.0,0,11,1,16532.6,0.9,14.9,0.043025,0,5,89.9,90.5,87.4,38.4,31.49,0.064538,normal
B0025,2025-09-03 12:26:38,188.2,70.5,18.8,498.0,0,8,2,13268.1,5.2,4.5,0.037751,0,2,91.6,94.2,93.2,32.0,26.24,0.064257,normal
B0030,2025-09-03 15:20:22,178.4,88.4,24.6,498.0,1,16,1,15770.6,4.6,13.4,0.049398,1,2,87.4,85.8,86.1,38.6,31.65,0.07751,normal
B0044,2025-09-03 19:04:46,185.8,68.2,19.6,374.0,1,8,1,12671.6,2.8,6.8,0.052406,0,2,89.8,92.7,91.0,32.1,26.32,0.085829,normal
B0058,2025-09-03 19:56:05,181.7,75.2,20.6,519.0,1,18,1,13663.8,1.3,0.2,0.039692,1,4,94.8,94.2,94.9,37.9,31.08,0.073025,normal
B0049,2025-09-03 20:35:12,189.2,70.0,17.6,459.0,2,17,2,13244.0,6.2,5.0,0.038344,1,3,88.3,91.8,92.1,36.3,29.77,0.079085,normal
B0056,2025-09-03 21:26:00,184.5,65.6,21.6,470.0,0,7,2,12103.2,1.5,9.4,0.045957,0,1,91.8,95.3,88.3,31.4,25.75,0.066809,normal
B0039,2025-09-03 22:44:56,175.0,79.2,17.0,549.0,0,7,1,13860.0,8.0,4.2,0.030965,0,1,87.5,91.6,93.2,32.1,26.32,0.05847,normal
B0046,2025-09-04 01:30:29,183.1,77.4,18.5,580.0,0,16,0,14171.9,0.1,2.4,0.031897,1,2,92.6,96.3,93.0,33.6,27.55,0.057931,normal
B0041,2025-09-04 05:27:12,187.1,64.6,19.5,492.0,1,12,2,12086.7,4.1,10.4,0.039634,0,6,90.6,91.2,89.3,31.3,25.67,0.063618,normal
B0072,2025-09-04 06:35:46,191.4,88.3,24.9,700.0,2,8,1,16900.6,8.4,13.3,0.035571,0,2,82.79999999999998,86.9,83.89999999999998,42.7,35.01,0.061,normal
B0057,2025-09-04 07:45:23,181.9,72.1,18.2,496.0,2,9,2,13115.0,1.1,2.9,0.036694,0,3,97.3,95.8,93.3,32.5,26.65,0.065524,normal
B0068,2025-09-04 09:36:14,183.5,65.4,16.7,436.0,2,12,2,12000.9,0.5,9.6,0.038303,0,6,93.1,94.4,89.5,33.5,27.47,0.076835,calibration_needed
B0038,2025-09-04 11:00:04,178.2,82.5,15.8,432.0,1,15,1,14701.5,4.8,7.5,0.036574,1,1,88.7,91.2,89.9,35.0,28.7,0.081019,wet_material
B0035,2025-09-04 11:26:27,181.3,68.6,10.0,565.0,0,6,0,12437.2,1.7,6.4,0.017699,0,0,94.5,91.6,92.2,25.9,21.24,0.045841,wet_material
B0066,2025-09-04 13:57:05,181.1,83.4,19.6,395.0,1,11,1,15103.7,1.9,8.4,0.04962,0,5,90.4,92.9,90.4,36.1,29.6,0.091392,normal
B0033,2025-09-04 13:58:11,186.1,65.9,15.1,434.0,0,14,0,12264.0,3.1,9.1,0.034793,1,0,89.6,88.8,89.8,32.1,26.32,0.073963,normal
B0034,2025-09-04 17:14:50,183.8,70.1,15.4,417.0,0,18,0,12884.4,0.8,4.9,0.03693,1,4,91.6,93.1,89.3,30.1,24.68,0.072182,normal
B0047,2025-09-04 17:39:53,179.7,73.4,19.8,520.0,2,6,1,13190.0,3.3,1.6,0.038077,0,0,91.5,92.6,93.0,39.5,32.39,0.075962,calibration_needed
B0077,2025-09-04 19:33:07,186.8,70.6,19.5,532.0,1,19,2,13188.1,3.8,4.4,0.036654,1,5,91.1,94.7,93.7,34.9,28.62,0.065602,normal
B0061,2025-09-04 19:49:42,182.6,77.8,18.4,469.0,1,11,1,14206.3,0.4,2.8,0.039232,0,5,94.7,96.0,93.3,31.3,25.67,0.066738,normal
B0048,2025-09-04 21:21:47,182.2,69.2,17.2,490.0,0,15,2,12608.2,0.8,5.8,0.035102,1,1,96.4,94.7,92.4,28.4,23.29,0.057959,normal
B0059,2025-09-04 21:47:30,176.0,75.8,25.1,300.0,0,10,0,13340.8,7.0,0.8,0.083667,0,4,89.0,89.4,92.8,35.9,29.44,0.119667,normal
B0045,2025-09-04 23:43:12,192.3,82.0,16.9,416.0,0,10,1,15768.6,9.3,7.0,0.040625,0,4,87.9,89.9,87.9,32.5,26.65,0.078125,normal
B0083,2025-09-05 00:54:46,181.2,76.9,20.8,467.0,1,18,0,13934.3,1.8,1.9,0.04454,1,4,92.8,95.2,92.2,35.6,29.19,0.076231,normal
B0064,2025-09-05 00:58:10,184.3,68.1,17.3,513.0,1,9,1,12550.8,1.3,6.9,0.033723,0,3,94.5,93.1,91.5,31.9,26.16,0.062183,calibration_needed
B0071,2025-09-05 02:09:47,180.0,75.3,19.9,441.0,0,7,1,13554.0,3.0,0.3,0.045125,0,1,95.1,95.4,95.7,30.5,25.01,0.069161,calibration_needed
B0079,2025-09-05 02:43:49,179.2,70.6,21.5,432.0,1,17,2,12651.5,3.8,4.4,0.049769,1,3,92.5,94.1,94.0,35.2,28.86,0.081481,normal
B0060,2025-09-05 04:58:51,187.0,73.7,22.2,435.0,0,13,0,13781.9,4.0,1.3,0.051034,0,7,90.5,91.5,91.8,32.8,26.9,0.075402,normal
B0063,2025-09-05 06:42:47,195.0,80.1,10.0,414.0,1,21,2,15619.5,12.0,5.1,0.024155,1,7,87.7,87.4,88.1,31.6,25.91,0.076329,normal
B0043,2025-09-05 11:39:04,178.5,83.0,11.0,447.0,1,18,2,14815.5,4.5,8.0,0.024609,1,4,90.0,88.7,94.8,30.4,24.93,0.068009,normal
B0098,2025-09-05 11:44:11,185.6,77.9,17.3,588.0,0,11,1,14458.2,2.6,2.9,0.029422,0,5,94.5,93.2,97.2,30.8,25.26,0.052381,bearing_wear
B0054,2025-09-05 12:25:47,183.6,69.5,12.9,428.0,0,7,1,12760.2,0.6,5.5,0.03014,0,1,95.5,93.5,93.1,27.6,22.63,0.064486,normal
B0100,2025-09-05 14:42:51,183.9,78.1,17.5,495.0,1,12,0,14362.6,0.9,3.1,0.035354,0,6,93.3,94.2,91.0,33.5,27.47,0.067677,calibration_needed
B0090,2025-09-05 16:08:42,182.6,68.1,10.0,465.0,1,10,1,12435.1,0.4,6.9,0.021505,0,4,95.0,94.3,92.5,30.2,24.76,0.064946,normal
B0051,2025-09-05 20:17:51,179.4,75.0,21.9,432.0,1,18,0,13455.0,3.6,0.0,0.050694,1,4,90.1,92.8,91.5,38.4,31.49,0.088889,normal
B0099,2025-09-06 01:01:18,184.5,78.9,18.3,469.0,0,12,1,14557.0,1.5,3.9,0.039019,0,6,92.2,94.8,92.1,32.6,26.73,0.06951,normal
B0065,2025-09-06 03:54:46,179.6,73.0,16.7,620.0,0,14,1,13110.8,3.4,2.0,0.026935,1,0,93.0,92.1,91.3,31.7,25.99,0.051129,wet_material
B0078,2025-09-06 05:56:25,185.2,79.2,15.0,586.0,0,16,0,14667.8,2.2,4.2,0.025597,1,2,91.8,93.8,89.9,35.1,28.78,0.059898,normal
B0109,2025-09-06 07:35:10,182.5,69.9,14.3,511.0,0,19,0,12756.8,0.5,5.1,0.027984,1,5,93.9,92.3,90.7,30.0,24.6,0.058708,normal
B0082,2025-09-06 08:42:01,181.5,78.0,14.9,648.0,2,11,2,14157.0,1.5,3.0,0.022994,0,5,96.1,96.0,91.6,38.5,31.57,0.059414,normal
B0050,2025-09-06 08:43:07,180.1,89.3,17.1,539.0,1,20,2,16082.9,2.9,14.3,0.031725,1,6,88.7,92.2,86.4,35.7,29.27,0.066234,calibration_needed
B0084,2025-09-06 09:11:01,178.7,72.6,26.3,412.0,0,20,1,12973.6,4.3,2.4,0.063835,1,6,89.5,93.0,92.9,34.0,27.88,0.082524,normal
B0053,2025-09-06 10:08:19,178.7,69.5,18.9,441.0,1,13,1,12419.6,4.3,5.5,0.042857,0,7,93.1,93.5,88.4,33.7,27.63,0.076417,normal
B0052,2025-09-06 11:16:51,180.8,80.5,19.7,524.0,0,9,1,14554.4,2.2,5.5,0.037595,0,3,94.2,94.2,92.8,36.5,29.93,0.069656,normal
B0085,2025-09-06 12:27:39,184.9,77.6,14.0,471.0,0,6,1,14348.2,1.9,2.6,0.029724,0,0,95.4,94.6,88.5,28.6,23.45,0.060722,calibration_needed
B0128,2025-09-06 15:20:05,184.8,67.2,14.2,543.0,1,12,0,12418.6,1.8,7.8,0.026151,0,6,91.2,91.5,90.4,33.1,27.14,0.060958,bearing_wear
B0055,2025-09-06 17:03:16,190.3,82.6,16.5,449.0,0,9,0,15718.8,7.3,7.6,0.036748,0,3,87.3,88.7,84.8,33.6,27.55,0.074833,normal
B0111,2025-09-06 23:50:36,180.3,77.2,12.1,553.0,2,21,1,13919.2,2.7,2.2,0.021881,1,7,91.9,94.3,93.5,34.5,28.29,0.062387,normal
B0062,2025-09-07 01:04:21,182.2,79.8,16.0,620.0,1,11,1,14539.6,0.8,4.8,0.025806,0,5,96.2,93.7,93.2,31.3,25.67,0.050484,normal
B0123,2025-09-07 05:18:16,181.5,75.5,18.1,441.0,0,16,1,13703.2,1.5,0.5,0.041043,1,2,96.0,96.9,95.2,29.7,24.35,0.067347,calibration_needed
B0105,2025-09-07 06:15:48,188.9,60.4,17.8,329.0,0,7,2,11409.6,5.9,14.6,0.054103,0,1,89.9,91.1,87.5,31.6,25.91,0.096049,normal
B0108,2025-09-07 07:03:55,188.9,72.5,17.8,610.0,0,8,1,13695.2,5.9,2.5,0.02918,0,2,89.9,91.4,92.0,32.5,26.65,0.053279,bearing_wear
B0067,2025-09-07 09:37:14,188.2,81.3,17.4,532.0,0,7,0,15300.7,5.2,6.3,0.032707,0,1,87.7,90.9,89.0,33.4,27.39,0.062782,calibration_needed
B0117,2025-09-07 11:44:34,185.5,77.4,23.3,497.0,0,19,1,14357.7,2.5,2.4,0.046881,1,5,91.4,92.3,91.9,33.3,27.31,0.067002,normal
B0102,2025-09-07 12:05:47,184.5,76.0,14.5,587.0,0,12,0,14022.0,1.5,1.0,0.024702,0,6,93.6,92.8,94.8,32.8,26.9,0.055877,normal
B0070,2025-09-07 13:05:08,187.1,61.2,14.2,436.0,0,7,2,11450.5,4.1,13.8,0.032569,0,1,88.4,89.8,88.1,27.0,22.14,0.061927,normal
B0089,2025-09-07 14:02:26,189.4,73.7,15.8,507.0,2,18,1,13958.8,6.4,1.3,0.031164,1,4,91.1,92.3,92.0,35.7,29.27,0.070414,normal
B0074,2025-09-07 14:27:40,181.0,69.2,19.3,588.0,0,16,1,12525.2,2.0,5.8,0.032823,1,2,92.2,94.3,90.4,31.7,25.99,0.053912,normal
B0145,2025-09-07 15:01:22,180.0,77.3,15.0,387.0,0,9,1,13914.0,3.0,2.3,0.03876,0,3,92.5,93.2,92.4,28.8,23.62,0.074419,normal
B0132,2025-09-07 17:44:00,177.7,79.2,15.7,580.0,0,9,1,14073.8,5.3,4.2,0.027069,0,3,90.8,92.3,90.1,32.6,26.73,0.056207,wet_material
B0081,2025-09-07 18:43:50,187.6,80.2,19.2,556.0,0,14,0,15045.5,4.6,5.2,0.034532,1,0,87.0,91.9,87.3,35.4,29.03,0.063669,normal
B0075,2025-09-07 19:00:47,188.8,80.3,21.8,539.0,1,13,2,15160.6,5.8,5.3,0.040445,0,7,90.0,91.4,92.9,38.6,31.65,0.071614,normal
B0110,2025-09-07 19:48:32,175.0,77.6,18.0,446.0,0,20,1,13580.0,8.0,2.6,0.040359,1,6,86.6,91.7,91.5,31.6,25.91,0.070852,normal
B0097,2025-09-07 21:12:25,194.7,72.0,21.8,415.0,0,21,1,14018.4,11.7,3.0,0.05253,1,7,86.2,87.9,90.8,34.8,28.54,0.083855,bearing_wear
B0148,2025-09-07 21:25:41,184.6,82.5,17.9,571.0,2,8,2,15229.5,1.6,7.5,0.031349,0,2,90.5,93.7,92.6,37.8,31.0,0.0662,normal
B0073,2025-09-08 00:17:34,187.9,68.4,17.6,568.0,0,16,0,12852.4,4.9,6.6,0.030986,1,2,88.2,90.9,89.1,33.5,27.47,0.058979,normal
B0076,2025-09-08 01:55:29,183.3,64.2,14.8,371.0,0,11,2,11767.9,0.3,10.8,0.039892,0,5,95.7,92.7,91.7,30.5,25.01,0.08221,normal
B0095,2025-09-08 03:21:57,187.4,76.5,24.3,664.0,0,12,2,14336.1,4.4,1.5,0.036596,0,6,91.9,92.9,92.3,36.8,30.18,0.055422,normal
B0124,2025-09-08 04:23:45,188.5,75.5,18.7,483.0,0,11,1,14231.8,5.5,0.5,0.038716,0,5,91.3,93.1,91.9,30.9,25.34,0.063975,normal
B0087,2025-09-08 08:12:04,178.2,78.2,18.9,354.0,1,20,0,13935.2,4.8,3.2,0.05339,1,6,87.7,91.6,91.1,33.5,27.47,0.094633,normal
B0069,2025-09-08 09:08:34,176.5,77.5,10.9,460.0,1,17,1,13678.8,6.5,2.5,0.023696,1,3,90.1,89.9,91.5,31.3,25.67,0.068043,normal
B0106,2025-09-08 09:15:03,178.5,76.1,23.5,561.0,1,7,0,13583.8,4.5,1.1,0.041889,0,1,89.6,91.0,91.6,39.9,32.72,0.071123,normal
B0096,2025-09-08 09:16:24,188.3,80.5,23.8,420.0,0,15,2,15158.2,5.3,5.5,0.056667,1,1,88.1,90.0,94.1,35.6,29.19,0.084762,normal
B0093,2025-09-08 09:17:53,184.9,67.2,11.0,456.0,1,8,1,12425.3,1.9,7.8,0.024123,0,2,92.3,90.1,88.0,27.2,22.3,0.059649,normal
B0131,2025-09-08 12:38:39,184.5,83.6,18.2,623.0,1,19,2,15424.2,1.5,8.6,0.029213,1,5,93.0,96.2,92.8,36.1,29.6,0.057945,normal
B0171,2025-09-08 13:15:17,185.8,62.5,15.6,501.0,2,16,1,11612.5,2.8,12.5,0.031138,1,2,88.0,91.1,87.3,34.4,28.21,0.068663,normal
B0168,2025-09-08 16:16:31,185.3,82.0,16.3,486.0,2,8,2,15194.6,2.3,7.0,0.033539,0,2,91.4,94.6,91.2,35.7,29.27,0.073457,normal
B0086,2025-09-08 18:07:09,192.3,74.1,16.6,615.0,1,6,2,14249.4,9.3,0.9,0.026992,0,0,90.9,90.2,95.0,33.9,27.8,0.055122,normal
B0122,2025-09-08 18:11:40,190.3,74.5,12.7,433.0,0,6,1,14177.4,7.3,0.5,0.02933,0,0,92.6,91.9,91.5,30.4,24.93,0.070208,normal
B0103,2025-09-08 19:34:27,181.7,77.5,14.8,473.0,0,6,2,14081.8,1.3,2.5,0.03129,0,0,96.0,97.0,93.9,28.1,23.04,0.059408,normal
B0080,2025-09-08 21:34:20,180.1,73.3,18.6,577.0,0,17,2,13201.3,2.9,1.7,0.032236,1,3,94.3,95.7,92.3,31.3,25.67,0.054246,wet_material
B0152,2025-09-08 23:02:09,184.8,74.0,16.6,439.0,1,8,0,13675.2,1.8,1.0,0.037813,0,2,91.6,94.6,89.8,32.2,26.4,0.073349,wet_material
B0164,2025-09-09 00:12:40,184.5,93.20000000000002,19.8,443.0,0,16,0,17195.4,1.5,18.2,0.044695,1,2,85.4,87.8,84.7,38.2,31.32,0.08623,normal
B0091,2025-09-09 02:21:28,185.0,74.8,23.4,501.0,0,7,1,13838.0,2.0,0.2,0.046707,0,1,93.3,94.7,94.9,34.4,28.21,0.068663,normal
B0141,2025-09-09 08:15:07,176.9,82.4,13.8,487.0,0,8,2,14576.6,6.1,7.4,0.028337,0,2,91.4,92.3,90.0,27.5,22.55,0.056468,normal
B0092,2025-09-09 10:59:18,178.2,69.3,21.0,576.0,0,7,0,12349.3,4.8,5.7,0.036458,0,1,87.4,92.8,91.1,32.8,26.9,0.056944,normal
B0101,2025-09-09 11:24:58,181.4,69.2,22.5,539.0,0,12,2,12552.9,1.6,5.8,0.041744,0,6,92.6,95.6,92.4,33.7,27.63,0.062523,normal
B0133,2025-09-09 14:21:15,188.3,69.0,12.0,572.0,1,20,0,12992.7,5.3,6.0,0.020979,1,6,89.7,88.7,91.0,31.0,25.42,0.054196,normal
B0135,2025-09-09 14:26:54,183.9,76.9,16.0,543.0,2,7,1,14141.9,0.9,1.9,0.029466,0,1,91.7,95.2,93.9,38.0,31.16,0.069982,wet_material
B0094,2025-09-09 16:42:22,182.2,76.8,15.6,350.0,0,9,2,13993.0,0.8,1.8,0.044571,0,3,96.5,97.2,94.4,27.8,22.8,0.079429,wet_material
B0125,2025-09-09 19:04:57,189.8,73.9,23.4,300.0,2,21,0,14026.2,6.8,1.1,0.078,1,7,85.7,87.8,92.1,38.6,31.65,0.128667,normal
B0088,2025-09-09 19:06:43,183.1,71.5,21.1,335.0,2,9,1,13091.6,0.1,3.5,0.062985,0,3,92.5,94.9,90.2,38.2,31.32,0.11403,normal
B0151,2025-09-09 19:15:38,188.0,69.1,15.6,580.0,0,8,0,12990.8,5.0,5.9,0.026897,0,2,88.6,91.1,87.9,31.4,25.75,0.054138,normal
B0144,2025-09-09 19:31:31,178.5,71.0,16.4,583.0,1,19,1,12673.5,4.5,4.0,0.02813,1,5,93.2,91.7,93.9,31.0,25.42,0.053173,normal
B0143,2025-09-09 21:32:18,191.7,72.8,20.1,616.0,0,7,1,13955.8,8.7,2.2,0.03263,0,1,88.2,91.6,90.9,35.5,29.11,0.05763,wet_material
B0205,2025-09-09 21:49:41,187.3,89.3,16.7,685.0,0,8,2,16725.9,4.3,14.3,0.02438,0,2,90.6,89.5,86.1,32.6,26.73,0.047591,normal
B0208,2025-09-09 23:34:45,190.4,77.3,18.1,605.0,2,7,1,14717.9,7.4,2.3,0.029917,0,1,90.3,91.5,88.7,38.2,31.32,0.06314,normal
B0149,2025-09-10 01:16:38,185.2,85.2,17.1,411.0,1,10,1,15779.0,2.2,10.2,0.041606,0,4,90.6,92.3,89.6,34.4,28.21,0.083698,normal
B0155,2025-09-10 01:16:40,191.5,84.5,19.2,496.0,0,13,1,16181.8,8.5,9.5,0.03871,0,7,86.3,88.5,89.8,34.9,28.62,0.070363,calibration_needed
B0130,2025-09-10 01:23:42,178.9,76.3,14.0,483.0,1,17,0,13650.1,4.1,1.3,0.028986,1,3,91.1,92.8,90.8,33.9,27.8,0.070186,normal
B0181,2025-09-10 01:48:29,181.6,76.0,17.2,500.0,0,14,1,13801.6,1.4,1.0,0.0344,1,0,94.6,96.9,92.8,33.0,27.06,0.066,normal
B0138,2025-09-10 03:16:16,185.6,78.7,18.3,533.0,1,12,2,14606.7,2.6,3.7,0.034334,0,6,94.9,95.1,93.8,32.7,26.81,0.061351,normal
B0167,2025-09-10 03:43:22,181.0,74.3,10.4,401.0,0,6,0,13448.3,2.0,0.7,0.025935,0,0,96.1,93.3,93.7,27.2,22.3,0.06783,normal
B0158,2025-09-10 04:19:12,188.0,64.9,18.3,527.0,0,15,2,12201.2,5.0,10.1,0.034725,1,1,88.6,93.0,89.6,27.5,22.55,0.052182,normal
B0119,2025-09-10 05:16:21,181.3,81.1,18.2,339.0,2,11,0,14703.4,1.7,6.1,0.053687,0,5,88.8,93.0,91.5,35.2,28.86,0.103835,normal
B0179,2025-09-10 05:55:27,181.4,69.2,18.2,519.0,1,8,1,12552.9,1.6,5.8,0.035067,0,2,93.7,95.1,91.7,31.8,26.08,0.061272,normal
B0190,2025-09-10 06:32:03,183.3,77.3,18.1,450.0,1,16,0,14169.1,0.3,2.3,0.040222,1,2,92.4,93.7,93.3,36.1,29.6,0.080222,normal
B0175,2025-09-10 10:46:16,186.6,82.5,17.1,371.0,0,15,1,15394.5,3.6,7.5,0.046092,1,1,87.6,91.7,91.0,31.3,25.67,0.084367,normal
B0114,2025-09-10 12:18:43,178.5,80.1,20.8,418.0,0,12,1,14297.8,4.5,5.1,0.049761,0,6,90.7,90.7,90.4,34.3,28.13,0.082057,normal
B0201,2025-09-10 16:22:05,175.0,71.9,12.6,442.0,1,19,0,12582.5,8.0,3.1,0.028507,1,5,87.9,91.0,90.7,31.4,25.75,0.071041,normal
B0129,2025-09-10 17:49:46,182.9,72.2,16.6,436.0,1,17,0,13205.4,0.1,2.8,0.038073,1,3,94.9,95.8,91.3,33.7,27.63,0.077294,bearing_wear
B0107,2025-09-10 18:15:57,188.1,90.5,15.3,433.0,2,15,0,17023.0,5.1,15.5,0.035335,1,1,82.79999999999998,85.55,83.89999999999998,37.5,30.75,0.086605,normal
B0173,2025-09-10 21:46:32,187.9,79.1,13.1,385.0,1,6,2,14862.9,4.9,4.1,0.034026,0,0,94.0,92.2,90.4,30.7,25.17,0.07974,normal
B0206,2025-09-11 03:21:16,190.3,76.9,15.9,387.0,1,7,0,14634.1,7.3,1.9,0.041085,0,1,88.8,89.2,88.3,37.4,30.67,0.096641,normal
B0136,2025-09-11 07:49:59,184.3,83.9,12.9,481.0,2,11,1,15462.8,1.3,8.9,0.026819,0,5,92.2,92.9,92.4,34.0,27.88,0.070686,normal
B0104,2025-09-11 11:34:49,183.8,75.1,22.0,622.0,1,6,0,13803.4,0.8,0.1,0.03537,0,0,93.2,94.5,93.5,39.3,32.23,0.063183,normal
B0237,2025-09-11 11:38:39,189.0,84.1,18.4,590.0,0,17,0,15894.9,6.0,9.1,0.031186,1,3,87.6,87.7,87.3,36.2,29.68,0.061356,bearing_wear
